Run number:,Thread number:,CPU_Total_Time
1,0,0.13988500000000004
2,0,0.14065199999999994
3,0,0.13649099999999992
4,0,0.13860000000000006
5,0,0.13563000000000003
6,0,0.13816699999999993
7,0,0.13769699999999996
8,0,0.13901899999999978
9,0,0.13690900000000017
10,0,0.13901600000000003
11,0,0.13799699999999993
12,0,0.139027
13,0,0.13555800000000007
14,0,0.13801399999999986
15,0,0.1356219999999999
16,0,0.13893400000000034
17,0,0.13805599999999973
18,0,0.1366299999999998
19,0,0.13816700000000015
20,0,0.13536299999999946
21,0,0.139281
22,0,0.13847799999999966
23,0,0.1378149999999998
24,0,0.13620899999999958
25,0,0.1377950000000001
26,0,0.1374620000000002
27,0,0.14112499999999972
28,0,0.13974899999999968
29,0,0.14110100000000037
30,0,0.13910599999999995
31,0,0.13670000000000027
32,0,0.1380340000000002
33,0,0.13630499999999923
34,0,0.13746100000000006
35,0,0.1372580000000001
36,0,0.13595199999999963
37,0,0.13901999999999948
38,0,0.13735500000000034
39,0,0.1392629999999997
40,0,0.13822400000000012
41,0,0.13591500000000067
42,0,0.1387589999999994
43,0,0.13778999999999986
44,0,0.13594499999999954
45,0,0.13665899999999986
46,0,0.13759499999999925
47,0,0.13770200000000088
48,0,0.13843099999999975
49,0,0.1369119999999997
50,0,0.13716300000000103
51,0,0.13800900000000027
52,0,0.135529
53,0,0.13882899999999943
54,0,0.13533999999999935
55,0,0.13769899999999957
56,0,0.13807499999999973
57,0,0.1401469999999998
58,0,0.13712299999999988
59,0,0.13579700000000017
60,0,0.1386649999999996
61,0,0.13976599999999806
62,0,0.13763500000000128
63,0,0.13761699999999877
64,0,0.13649299999999798
65,0,0.1383939999999999
66,0,0.13809899999999864
67,0,0.13647799999999854
68,0,0.13710400000000078
69,0,0.13699500000000064
70,0,0.13849800000000023
71,0,0.13737199999999916
72,0,0.13760000000000083
73,0,0.13834400000000002
74,0,0.13913299999999929
75,0,0.1365280000000002
76,0,0.13804999999999978
77,0,0.13645999999999958
78,0,0.13681699999999886
79,0,0.13765000000000072
80,0,0.1386029999999998
81,0,0.13705199999999884
82,0,0.13868200000000108
83,0,0.13917900000000039
84,0,0.13815999999999917
85,0,0.1370850000000008
86,0,0.13673100000000105
87,0,0.13696700000000206
88,0,0.13668200000000041
89,0,0.1371450000000003
90,0,0.13692100000000096
91,0,0.13851099999999938
92,0,0.13854899999999937
93,0,0.13719400000000093
94,0,0.13672400000000096
95,0,0.1384830000000008
96,0,0.14068999999999932
97,0,0.1367970000000014
98,0,0.13606100000000154
99,0,0.1388689999999997
100,0,0.13947599999999838
101,0,0.1384419999999995
102,0,0.1393330000000006
103,0,0.13845499999999866
104,0,0.14156799999999947
105,0,0.1428440000000002
106,0,0.13896599999999992
107,0,0.14106900000000167
108,0,0.1426310000000015
109,0,0.14292999999999978
110,0,0.14112900000000117
111,0,0.14028099999999988
112,0,0.13979199999999992
113,0,0.141864
114,0,0.14069600000000193
115,0,0.143853
116,0,0.14699200000000268
117,0,0.1413909999999987
118,0,0.1438050000000004
119,0,0.1392830000000025
120,0,0.1389409999999991
121,0,0.13719599999999943
122,0,0.14070300000000202
123,0,0.14648100000000142
124,0,0.14560499999999976
125,0,0.14797000000000082
126,0,0.14337300000000042
127,0,0.1425040000000024
128,0,0.14639099999999772
129,0,0.13757500000000178
130,0,0.1472990000000003
131,0,0.13884299999999783
132,0,0.13845999999999847
133,0,0.13795200000000207
134,0,0.14156100000000293
135,0,0.1458010000000023
136,0,0.1506870000000049
137,0,0.14401900000000367
138,0,0.14893799999999757
139,0,0.14432000000000045
140,0,0.14726300000000236
141,0,0.14575100000000063
142,0,0.14321900000000198
143,0,0.14711799999999897
144,0,0.14449700000000476
145,0,0.1448810000000016
146,0,0.14652699999999896
147,0,0.1425540000000005
148,0,0.14494699999999838
149,0,0.14429400000000214
150,0,0.1481640000000013
151,0,0.14358899999999863
152,0,0.1411089999999966
153,0,0.14656499999999895
154,0,0.14145199999999747
155,0,0.1408750000000012
156,0,0.14310800000000157
157,0,0.1463200000000029
158,0,0.14872600000000347
159,0,0.13886400000000165
160,0,0.14790400000000048
161,0,0.1439810000000037
162,0,0.13921900000000065
163,0,0.14065199999999933
164,0,0.1397069999999978
165,0,0.13992199999999855
166,0,0.13968099999999595
167,0,0.1379659999999987
168,0,0.13852299999999929
169,0,0.14089299999999838
170,0,0.13713100000000367
171,0,0.1405220000000007
172,0,0.13853500000000096
173,0,0.13875499999999974
174,0,0.1400549999999967
175,0,0.13721599999999867
176,0,0.1387059999999991
177,0,0.1373439999999988
178,0,0.13590800000000058
179,0,0.1402619999999999
180,0,0.14102199999999954
181,0,0.14198700000000386
182,0,0.14182200000000122
183,0,0.14146299999999812
184,0,0.13918300000000272
185,0,0.1423230000000011
186,0,0.14032800000000023
187,0,0.14507899999999907
188,0,0.14298900000000003
189,0,0.1381440000000005
190,0,0.1487879999999997
191,0,0.14011700000000005
192,0,0.13874099999999956
193,0,0.1387110000000007
194,0,0.1381099999999975
195,0,0.13950700000000182
196,0,0.14080600000000132
197,0,0.13960999999999757
198,0,0.13904700000000147
199,0,0.13818900000000056
200,0,0.1383669999999988
201,0,0.1405719999999988
202,0,0.13859400000000122
203,0,0.14414599999999567
204,0,0.14427299999999832
205,0,0.1420230000000018
206,0,0.14175499999999985
207,0,0.14184200000000402
208,0,0.146169000000004
209,0,0.1383730000000014
210,0,0.13802799999999849
211,0,0.13894799999999563
212,0,0.13669200000000004
213,0,0.1405460000000005
214,0,0.13682700000000025
215,0,0.13948700000000258
216,0,0.1360299999999981
217,0,0.13833899999999844
218,0,0.138536000000002
219,0,0.13650799999999919
220,0,0.13831900000000275
221,0,0.13894399999999507
222,0,0.13860699999999682
223,0,0.13752700000000218
224,0,0.14344299999999777
225,0,0.13936999999999955
226,0,0.13913300000000106
227,0,0.13692899999999852
228,0,0.1394219999999997
229,0,0.13804599999999567
230,0,0.13516200000000111
231,0,0.13831299999999658
232,0,0.1370679999999993
233,0,0.13880400000000037
234,0,0.13882699999999915
235,0,0.13724600000000464
236,0,0.13802500000000606
237,0,0.13668400000000247
238,0,0.1393330000000006
239,0,0.13897099999999796
240,0,0.13712299999999544
241,0,0.1388159999999985
242,0,0.13680699999999746
243,0,0.13863700000000279
244,0,0.1392229999999941
245,0,0.13645799999999753
246,0,0.13888299999999987
247,0,0.1386009999999942
248,0,0.13755499999999898
249,0,0.13904000000000138
250,0,0.13628100000000387
251,0,0.13980000000000814
252,0,0.13802900000000307
253,0,0.13612100000000282
254,0,0.13927199999999829
255,0,0.1375009999999932
256,0,0.14054899999999293
257,0,0.13795099999999394
258,0,0.13629999999999853
259,0,0.13925599999999605
260,0,0.13516399999998896
261,0,0.13746100000000183
262,0,0.13915400000000488
263,0,0.13606299999999294
264,0,0.13817799999999636
265,0,0.13688800000000612
266,0,0.13902300000000167
267,0,0.14013599999999826
268,0,0.1359820000000056
269,0,0.1382380000000012
270,0,0.13877300000000048
271,0,0.13734699999999833
272,0,0.13761400000000634
273,0,0.13718500000000233
274,0,0.1388419999999968
275,0,0.13838799999999907
276,0,0.13596300000000383
277,0,0.13788900000000126
278,0,0.13827599999999762
279,0,0.13811400000000873
280,0,0.13777699999999982
281,0,0.13561899999999838
282,0,0.13922499999998905
283,0,0.13740799999999354
284,0,0.13650899999999666
285,0,0.13714399999999927
286,0,0.13599599999999867
287,0,0.13837900000000758
288,0,0.1377030000000019
289,0,0.13769999999999527
290,0,0.13884300000000138
291,0,0.13811800000000574
292,0,0.13807199999999398
293,0,0.13841599999999943
294,0,0.13765400000000483
295,0,0.13852500000000134
296,0,0.13697900000000374
297,0,0.13641799999999904
298,0,0.13771500000000003
299,0,0.13858700000000113
300,0,0.1400549999999896
301,0,0.13973199999999508
302,0,0.1369630000000015
303,0,0.1373710000000017
304,0,0.13634799999999814
305,0,0.14012799999999714
306,0,0.13834999999999553
307,0,0.1372119999999981
308,0,0.13885399999999493
309,0,0.13568600000000686
310,0,0.1394689999999983
311,0,0.13784399999999408
312,0,0.13659400000000232
313,0,0.1375680000000017
314,0,0.13956999999999908
315,0,0.13801999999999737
316,0,0.14261199999999263
317,0,0.13642299999999352
318,0,0.13749099999999714
319,0,0.13853200000000498
320,0,0.13680800000000204
321,0,0.1375009999999932
322,0,0.1376109999999997
323,0,0.1364069999999984
324,0,0.13798499999999336
325,0,0.13748300000000313
326,0,0.13868400000000491
327,0,0.13761700000000587
328,0,0.13651899999999983
329,0,0.1383610000000033
330,0,0.13614600000000365
